name,location,region,description,elevation_gain,difficulty,characteristic
"金沢マラソン","石川県金沢市","中部","城下町を巡る公認コース。全体的に平坦で走りやすく記録が狙いやすい。",40,2,FLAT
"富山マラソン","富山県高岡市〜富山市","中部","新湊大橋の急勾配が最大の難所。立山連峰を望む絶景コース。",85,4,HILLY
"北海道マラソン","北海道札幌市","北海道","真夏の過酷なレース。広大な大地を走るが暑さへの耐性が問われる。",30,5,HOT
"ダナン国際マラソン","ベトナム・ダナン","海外","早朝の海岸線を走る国際大会。日の出の美しさと熱帯の過酷な気候が特徴。",20,4,HOT
"東京マラソン","東京都新宿区","関東","日本最大級の都市型マラソン。超フラットで高速レースになりやすい。",20,1,FLAT
"横浜マラソン","神奈川県横浜市","関東","首都高を走る特別な体験。細かいカーブとバンクがあり脚への負担に注意。",50,3,FLAT
"長野マラソン","長野県長野市","中部","春の信濃路を駆け抜ける。比較的平坦だが風の影響を受けやすい。",40,2,FLAT
"新潟シティマラソン","新潟県新潟市","中部","信濃川や日本海沿いを走る。海風とフラットな道のバランスが良い。",20,2,FLAT
"大阪マラソン","大阪府大阪市","近畿","大阪の名所を巡るコース。沿道の声援が途切れずランナーの力になる。",25,2,FLAT
"京都マラソン","京都市","近畿","細かなアップダウンが連続する。景色は最高だが後半に脚を削られやすい。",150,4,HILLY
"神戸マラソン","兵庫県神戸市","近畿","海沿いから山側までを走る。終盤に待ち構えるバイパス大橋が最大の壁。",70,3,HILLY
"奈良マラソン","奈良県奈良市","近畿","激しいアップダウンが何度も連続する、国内屈指の激坂タフコース。",180,5,HILLY
"福岡国際マラソン","福岡県福岡市","九州・沖縄","エリートランナーが集う高速コース。フラットで記録更新の登竜門。",10,1,FLAT
"NAHAマラソン","沖縄県那覇市","九州・沖縄","南国の太陽と激しいアップダウン。お祭り騒ぎの沿道が後押しする。",150,5,HOT
"熊本城マラソン","熊本県熊本市","九州・沖縄","熊本城を目指すコース。ラストに待ち構える急坂が最大の試練となる。",80,3,HILLY
"愛媛マラソン","愛媛県松山市","中国・四国","前半は平坦だが中盤の長大な峠越えがランナーの脚と精神力を試す。",120,4,HILLY
"おかやまマラソン","岡山県岡山市","中国・四国","全体的にフラットで走りやすいが、30km地点にある旭川の橋が鬼門。",45,2,FLAT
"下関海響マラソン","山口県下関市","中国・四国","後半の海岸線はアップダウンの連続。海風も強く極めてタフなコース。",140,5,HILLY
"東北・みやぎ復興マラソン","宮城県名取市","東北","フラットな沿岸部を走るコース。遮るものがなく海風の影響が強い。",15,2,FLAT
"いわきサンシャインマラソン","福島県いわき市","東北","港町を走る。中盤の長い坂と、冬の厳しい寒風がランナーを苦しめる。",90,4,HILLY
"つくばマラソン","茨城県つくば市","関東","記録を狙うランナーの聖地。フラットで走りやすさに特化している。",15,1,FLAT
"かすみがうらマラソン","茨城県土浦市","関東","霞ヶ浦の湖畔を走る。基本は平坦だが、単調な景色による精神的疲労も。",20,2,FLAT
"富士山マラソン","山梨県富士河口湖町","中部","河口湖と西湖を巡る。西湖への激坂が最大の難所。景色は日本一。",130,4,HILLY
"いぶすき菜の花マラソン","鹿児島県指宿市","九州・沖縄","新春の開催。アップダウンが非常に激しくスタミナがゴリゴリ削られる。",200,5,HILLY